datetime,flow
2016-04-27 04:00,13737.6
2016-04-27 08:00,10108.8
2016-04-27 12:00,6480
2016-04-27 16:00,9417.6
2016-04-27 20:00,20044.8
2016-04-28 00:00,28512
2016-04-28 04:00,33696
2016-04-28 08:00,37584
2016-04-28 12:00,34387.2
2016-04-28 16:00,29808
2016-04-28 20:00,15206.4
2016-04-29 00:00,9417.6
2016-04-29 04:00,16243.2
2016-04-29 08:00,53136
2016-04-29 12:00,79660.8
2016-04-29 16:00,98668.8
2016-04-29 20:00,108950.4
2016-04-30 00:00,109900.8
2016-04-30 04:00,108950.4
2016-04-30 08:00,111888
2016-04-30 12:00,108000
2016-04-30 16:00,105062.4
2016-04-30 20:00,108950.4
2016-05-01 00:00,111628.8
2016-05-01 04:00,110937.6
2016-05-01 08:00,118627.2
2016-05-01 12:00,113616
2016-05-01 16:00,110592
2016-05-01 20:00,113616
2016-05-02 00:00,114566.4
2016-05-02 04:00,111628.8
2016-05-02 08:00,109641.6
2016-05-02 12:00,95904
2016-05-02 16:00,85190.4
2016-05-02 20:00,73958.4
2016-05-03 00:00,70588.8
2016-05-03 04:00,64972.8
2016-05-03 08:00,61776
2016-05-03 12:00,57196.8
2016-05-03 16:00,52531.2
2016-05-03 20:00,61776
2016-05-04 00:00,73180.8
2016-05-04 04:00,80784
2016-05-04 08:00,91324.8
2016-05-04 12:00,94089.6
2016-05-04 16:00,93225.6
2016-05-04 20:00,97891.2
2016-05-05 00:00,107136
2016-05-05 04:00,108777.6
2016-05-05 08:00,108777.6
2016-05-05 12:00,101433.6
2016-05-05 16:00,96940.8
2016-05-05 20:00,94176
2016-05-06 00:00,95126.4
2016-05-06 04:00,94176
2016-05-06 08:00,93225.6
2016-05-06 12:00,85276.8
2016-05-06 16:00,76464
2016-05-06 20:00,74131.2
2016-05-07 00:00,77328
2016-05-07 04:00,81734.4
2016-05-07 08:00,82684.8
2016-05-07 12:00,80006.4
2016-05-07 16:00,75945.6
2016-05-07 20:00,77328
2016-05-08 00:00,83548.8
2016-05-08 04:00,88732.8
2016-05-08 08:00,93312
2016-05-08 12:00,90547.2
2016-05-08 16:00,86313.6
2016-05-08 20:00,85363.2
2016-05-09 00:00,95817.6
2016-05-09 04:00,96163.2
2016-05-09 08:00,97718.4
2016-05-09 12:00,89683.2
2016-05-09 16:00,81820.8
2016-05-09 20:00,77414.4
2016-05-10 00:00,77414.4
2016-05-10 04:00,71712
2016-05-10 08:00,64972.8
2016-05-10 12:00,54259.2
2016-05-10 16:00,45964.8
2016-05-10 20:00,54864
2016-05-11 00:00,68342.4
2016-05-11 04:00,75772.8
2016-05-11 08:00,75772.8
2016-05-11 12:00,67478.4
2016-05-11 16:00,55123.2
2016-05-11 20:00,48988.8
2016-05-12 00:00,49766.4
2016-05-12 04:00,46051.2
2016-05-12 08:00,36547.2
2016-05-12 12:00,24019.2
2016-05-12 16:00,13564.8
2016-05-12 20:00,7430.4
2016-05-13 00:00,7430.4
2016-05-13 04:00,7862.4
2016-05-13 08:00,9072
2016-05-13 12:00,9936
2016-05-13 16:00,6998.4
2016-05-13 20:00,6220.8
2016-05-14 00:00,4924.8
2016-05-14 04:00,4579.2
2016-05-14 08:00,4924.8
2016-05-14 12:00,5270.4
2016-05-14 16:00,4579.2
2016-05-14 20:00,6825.6
2016-05-15 00:00,9590.4
2016-05-15 04:00,11232
2016-05-15 08:00,13132.8
2016-05-15 12:00,13564.8
2016-05-15 16:00,12614.4
2016-05-15 20:00,14083.2
2016-05-16 00:00,16156.8
2016-05-16 04:00,13132.8
2016-05-16 08:00,12614.4
2016-05-16 12:00,12182.4
2016-05-16 16:00,11232
2016-05-16 20:00,9158.4
2016-05-17 00:00,7862.4
2016-05-17 04:00,5356.8
2016-05-17 08:00,4665.6
2016-05-17 12:00,3369.6
2016-05-17 16:00,2764.8
2016-05-17 20:00,3024
2016-05-18 00:00,3628.8
2016-05-18 04:00,3369.6
2016-05-18 08:00,5011.2
2016-05-18 12:00,5702.4
2016-05-18 16:00,5702.4
2016-05-18 20:00,7516.8
2016-05-19 00:00,8380.8
2016-05-19 04:00,7948.8
2016-05-19 08:00,10540.8
2016-05-19 12:00,14169.6
2016-05-19 16:00,14169.6
2016-05-19 20:00,5529.6
2016-05-20 00:00,7516.8
2016-05-20 04:00,7516.8
2016-05-20 08:00,5961.6
2016-05-20 12:00,4665.6
2016-05-20 16:00,7084.8
2016-05-20 20:00,3542.4
2016-05-21 00:00,3888
2016-05-21 04:00,5616
2016-05-21 08:00,8294.4
2016-05-21 12:00,9504
2016-05-21 16:00,9158.4
2016-05-21 20:00,10800
2016-05-22 00:00,10368
2016-05-22 04:00,8640
2016-05-22 08:00,9504
2016-05-22 12:00,9072
2016-05-22 16:00,7776
2016-05-22 20:00,6393.6
2016-05-23 00:00,5270.4
2016-05-23 04:00,4924.8
2016-05-23 08:00,4665.6
2016-05-23 12:00,4579.2
2016-05-23 16:00,18748.8
2016-05-23 20:00,11404.8
2016-05-24 00:00,21945.6
2016-05-24 04:00,24883.2
2016-05-24 08:00,33523.2
2016-05-24 12:00,43027.2
2016-05-24 16:00,44236.8
2016-05-24 20:00,64108.8
2016-05-25 00:00,77155.2
2016-05-25 04:00,98409.6
2016-05-25 08:00,157420.8
2016-05-25 12:00,157420.8
2016-05-25 16:00,137548.8
2016-05-25 20:00,104198.4
2016-05-26 00:00,94003.2
2016-05-26 04:00,83376
2016-05-26 08:00,71452.8
2016-05-26 12:00,64195.2
2016-05-26 16:00,63072
2016-05-26 20:00,60912
2016-05-27 00:00,60134.4
2016-05-27 04:00,60912
2016-05-27 08:00,66441.6
2016-05-27 12:00,70588.8
2016-05-27 16:00,71452.8
2016-05-27 20:00,74044.8
2016-05-28 00:00,74044.8
2016-05-28 04:00,72316.8
2016-05-28 08:00,75513.6
2016-05-28 12:00,79056
2016-05-28 16:00,75772.8
2016-05-28 20:00,76377.6
2016-05-29 00:00,78192
2016-05-29 04:00,74131.2
2016-05-29 08:00,71539.2
