 point             x              y              z          zone  nugget  sill            a_hmax         a_hmin         a_vert        ang1      ang2      ang3
 PPC0213        427410.000    6654980.000        138.440       1   0.0    1.0                  28.800         28.800          7.215   0.0       0.0       0.0
 PPC0214        427410.000    6655010.000        140.921       1   0.0    1.0                  28.800         28.800          8.291   0.0       0.0       0.0
 PPC0215        427410.000    6655040.000        141.516       1   0.0    1.0                  28.800         28.800          7.851   0.0       0.0       0.0
 PPC0216        427410.000    6655070.000        141.524       1   0.0    1.0                  28.800         28.800          7.600   0.0       0.0       0.0
 PPC0217        427410.000    6655100.000        142.218       1   0.0    1.0                  28.800         28.800          7.697   0.0       0.0       0.0
 PPC0218        427410.000    6655130.000        142.515       1   0.0    1.0                  28.800         28.800          6.944   0.0       0.0       0.0
 PPC0219        427410.000    6655160.000        144.285       1   0.0    1.0                  28.800         28.800          7.345   0.0       0.0       0.0
 PPC0220        427410.000    6655190.000        144.532       1   0.0    1.0                  28.800         28.800          6.382   0.0       0.0       0.0
 PPC0221        427410.000    6655220.000        144.801       1   0.0    1.0                  28.800         28.800          6.073   0.0       0.0       0.0
 PPC0222        427410.000    6655250.000        144.936       1   0.0    1.0                  28.800         28.800          5.772   0.0       0.0       0.0
 PPC0223        427410.000    6655280.000        145.581       1   0.0    1.0                  31.782         31.782          6.265   0.0       0.0       0.0
 PPC0224        427440.000    6654830.000        144.962       1   0.0    1.0                  31.782         31.782          8.638   0.0       0.0       0.0
 PPC0225        427440.000    6654860.000        138.910       1   0.0    1.0                  28.800         28.800          5.464   0.0       0.0       0.0
 PPC0226        427440.000    6654890.000        135.949       1   0.0    1.0                  28.800         28.800          3.895   0.0       0.0       0.0
 PPC0227        427440.000    6654920.000        140.180       1   0.0    1.0                  28.800         28.800          8.203   0.0       0.0       0.0
 PPC0228        427440.000    6654950.000        140.230       1   0.0    1.0                  28.800         28.800          7.728   0.0       0.0       0.0
 PPC0229        427440.000    6654980.000        140.858       1   0.0    1.0                  28.800         28.800          7.921   0.0       0.0       0.0
 PPC0230        427440.000    6655010.000        141.571       1   0.0    1.0                  28.800         28.800          7.614   0.0       0.0       0.0
 PPC0231        427440.000    6655040.000        142.008       1   0.0    1.0                  28.800         28.800          6.995   0.0       0.0       0.0
 PPC0232        427440.000    6655070.000        142.386       1   0.0    1.0                  28.800         28.800          6.978   0.0       0.0       0.0
