 point             x              y              z          zone  nugget  sill            a_hmax         a_hmin         a_vert        ang1      ang2      ang3
 PPC0179        427250.000    6655025.000        137.883       1   0.0    1.0                  24.000         24.000          7.980   0.0       0.0       0.0
 PPC0180        427250.000    6655050.000        138.189       1   0.0    1.0                  24.000         24.000          7.435   0.0       0.0       0.0
 PPC0181        427250.000    6655075.000        139.094       1   0.0    1.0                  24.000         24.000          7.526   0.0       0.0       0.0
 PPC0182        427250.000    6655100.000        139.909       1   0.0    1.0                  24.000         24.000          7.343   0.0       0.0       0.0
 PPC0183        427250.000    6655125.000        140.551       1   0.0    1.0                  26.485         26.485          7.833   0.0       0.0       0.0
 PPC0184        427275.000    6654725.000        134.904       1   0.0    1.0                  24.000         24.000          8.866   0.0       0.0       0.0
 PPC0185        427275.000    6654750.000        136.439       1   0.0    1.0                  24.000         24.000          8.034   0.0       0.0       0.0
 PPC0186        427275.000    6654775.000        135.929       1   0.0    1.0                  24.000         24.000          7.174   0.0       0.0       0.0
 PPC0187        427275.000    6654800.000        135.784       1   0.0    1.0                  24.000         24.000          6.658   0.0       0.0       0.0
 PPC0188        427275.000    6654825.000        135.919       1   0.0    1.0                  24.000         24.000          6.332   0.0       0.0       0.0
 PPC0189        427275.000    6654850.000        137.782       1   0.0    1.0                  24.000         24.000          7.199   0.0       0.0       0.0
 PPC0190        427275.000    6654875.000        138.623       1   0.0    1.0                  24.000         24.000          7.212   0.0       0.0       0.0
 PPC0191        427275.000    6654900.000        137.147       1   0.0    1.0                  24.000         24.000          7.105   0.0       0.0       0.0
 PPC0192        427275.000    6654925.000        132.511       1   0.0    1.0                  24.000         24.000          4.685   0.0       0.0       0.0
 PPC0193        427275.000    6654950.000        131.752       1   0.0    1.0                  24.000         24.000          4.045   0.0       0.0       0.0
 PPC0194        427275.000    6654975.000        131.773       1   0.0    1.0                  24.000         24.000          4.978   0.0       0.0       0.0
 PPC0195        427275.000    6655000.000        134.822       1   0.0    1.0                  24.000         24.000          7.501   0.0       0.0       0.0
 PPC0196        427275.000    6655025.000        137.253       1   0.0    1.0                  24.000         24.000          7.993   0.0       0.0       0.0
 PPC0197        427275.000    6655050.000        138.683       1   0.0    1.0                  24.000         24.000          7.803   0.0       0.0       0.0
 PPC0198        427275.000    6655075.000        139.680       1   0.0    1.0                  24.000         24.000          7.464   0.0       0.0       0.0
 PPC0199        427275.000    6655100.000        140.744       1   0.0    1.0                  24.000         24.000          7.220   0.0       0.0       0.0
 PPC0200        427275.000    6655125.000        141.730       1   0.0    1.0                  24.000         24.000          6.963   0.0       0.0       0.0
