datetime,stage
2016-04-17 12:00,136.15
2016-04-17 16:00,136.18
2016-04-17 20:00,136.19
2016-04-18 00:00,136.21
2016-04-18 04:00,136.19
2016-04-18 08:00,136.19
2016-04-18 12:00,136.18
2016-04-18 16:00,136.17
2016-04-18 20:00,136.18
2016-04-19 00:00,136.19
2016-04-19 04:00,136.17
2016-04-19 08:00,136.15
2016-04-19 12:00,136.15
2016-04-19 16:00,136.19
2016-04-19 20:00,136.17
2016-04-20 00:00,136.16
2016-04-20 04:00,136.16
2016-04-20 08:00,136.12
2016-04-20 12:00,136.13
2016-04-20 16:00,136.14
2016-04-20 20:00,136.13
2016-04-21 00:00,136.14
2016-04-21 04:00,136.14
2016-04-21 08:00,136.09
2016-04-21 12:00,136.12
2016-04-21 16:00,136.13
2016-04-21 20:00,136.13
2016-04-22 00:00,136.12
2016-04-22 04:00,136.14
2016-04-22 08:00,136.1
2016-04-22 12:00,136.12
2016-04-22 16:00,136.11
2016-04-22 20:00,136.12
2016-04-23 00:00,136.12
2016-04-23 04:00,136.1
2016-04-23 08:00,136.07
2016-04-23 12:00,136.08
2016-04-23 16:00,136.12
2016-04-23 20:00,136.09
2016-04-24 00:00,136.1
2016-04-24 04:00,136.1
2016-04-24 08:00,136.09
2016-04-24 12:00,136.11
2016-04-24 16:00,136.08
2016-04-24 20:00,136.1
2016-04-25 00:00,136.1
2016-04-25 04:00,136.12
2016-04-25 08:00,136.07
2016-04-25 12:00,136.09
2016-04-25 16:00,136.06
2016-04-25 20:00,136.08
2016-04-26 00:00,136.09
2016-04-26 04:00,136.11
2016-04-26 08:00,136.07
2016-04-26 12:00,136.09
2016-04-26 16:00,136.09
2016-04-26 20:00,136.1
2016-04-27 00:00,136.1
2016-04-27 04:00,136.1
2016-04-27 08:00,136.06
2016-04-27 12:00,136.06
2016-04-27 16:00,136.06
2016-04-27 20:00,136.07
2016-04-28 00:00,136.08
2016-04-28 04:00,136.06
2016-04-28 08:00,136.04
2016-04-28 12:00,136.05
2016-04-28 16:00,136.1
2016-04-28 20:00,136.09
2016-04-29 00:00,136.12
2016-04-29 04:00,136.18
2016-04-29 08:00,136.2
2016-04-29 12:00,136.2
2016-04-29 16:00,136.22
2016-04-29 20:00,136.23
2016-04-30 00:00,136.23
2016-04-30 04:00,136.22
2016-04-30 08:00,136.19
2016-04-30 12:00,136.17
2016-04-30 16:00,136.2
2016-04-30 20:00,136.17
2016-05-01 00:00,136.17
2016-05-01 04:00,136.16
2016-05-01 08:00,136.17
2016-05-01 12:00,136.16
2016-05-01 16:00,136.16
2016-05-01 20:00,136.17
2016-05-02 00:00,136.17
2016-05-02 04:00,136.16
2016-05-02 08:00,136.14
2016-05-02 12:00,136.14
2016-05-02 16:00,136.15
2016-05-02 20:00,136.15
2016-05-03 00:00,136.14
2016-05-03 04:00,136.13
2016-05-03 08:00,136.13
2016-05-03 12:00,136.1
2016-05-03 16:00,136.12
2016-05-03 20:00,136.13
2016-05-04 00:00,136.12
2016-05-04 04:00,136.12
2016-05-04 08:00,136.08
2016-05-04 12:00,136.11
2016-05-04 16:00,136.11
2016-05-04 20:00,136.1
2016-05-05 00:00,136.1
2016-05-05 04:00,136.09
2016-05-05 08:00,136.07
2016-05-05 12:00,136.08
2016-05-05 16:00,136.11
2016-05-05 20:00,136.08
2016-05-06 00:00,136.09
2016-05-06 04:00,136.07
2016-05-06 08:00,136.07
2016-05-06 12:00,136.06
2016-05-06 16:00,136.09
