 point             x              y          zone  nugget  sill           a         hanis     bearing
 PP0217         427030.294    6654782.340       1  0.0     1.0             35.711   1.0       0.0
 PP0218         427065.650    6654817.700       1  0.0     1.0             35.712   1.0       0.0
 PP0219         427101.005    6654853.050       1  0.0     1.0             35.710   1.0       0.0
 PP0220         427136.360    6654888.410       1  0.0     1.0             35.711   1.0       0.0
 PP0221         427171.716    6654923.760       1  0.0     1.0             26.966   1.0       0.0
 PP0222         427189.393    6654937.900       1  0.0     1.0             23.798   1.0       0.0
 PP0223         427221.213    6654973.260       1  0.0     1.0             36.492   1.0       0.0
 PP0224         427256.569    6655008.610       1  0.0     1.0             36.367   1.0       0.0
 PP0225         427291.924    6655043.970       1  0.0     1.0             36.348   1.0       0.0
 PP0226         427327.279    6655079.330       1  0.0     1.0             36.349   1.0       0.0
 PP0227         427362.635    6655114.680       1  0.0     1.0             36.346   1.0       0.0
 PP0228         427397.990    6655150.040       1  0.0     1.0             36.349   1.0       0.0
 PP0229         427433.345    6655185.390       1  0.0     1.0             36.346   1.0       0.0
 PP0230         427468.701    6655220.750       1  0.0     1.0             36.349   1.0       0.0
 PP0231         427504.056    6655256.100       1  0.0     1.0             45.415   1.0       0.0
 PP0232         427002.010    6654739.910       1  0.0     1.0             35.620   1.0       0.0
 PP0233         427037.365    6654775.270       1  0.0     1.0             35.622   1.0       0.0
 PP0234         427072.721    6654810.620       1  0.0     1.0             35.622   1.0       0.0
 PP0235         427108.076    6654845.980       1  0.0     1.0             35.620   1.0       0.0
 PP0236         427143.431    6654881.340       1  0.0     1.0             35.623   1.0       0.0
 PP0237         427178.787    6654916.690       1  0.0     1.0             29.473   1.0       0.0
 PP0238         427196.464    6654930.830       1  0.0     1.0             23.857   1.0       0.0
 PP0239         427207.071    6654944.970       1  0.0     1.0             27.829   1.0       0.0
 PP0240         427242.426    6654980.330       1  0.0     1.0             35.904   1.0       0.0
 PP0241         427277.782    6655015.690       1  0.0     1.0             34.296   1.0       0.0
 PP0242         427313.137    6655051.040       1  0.0     1.0             36.099   1.0       0.0
 PP0243         427348.492    6655086.400       1  0.0     1.0             36.098   1.0       0.0
 PP0244         427383.848    6655121.750       1  0.0     1.0             36.099   1.0       0.0
 PP0245         427419.203    6655157.110       1  0.0     1.0             36.098   1.0       0.0
 PP0246         427454.558    6655192.460       1  0.0     1.0             36.100   1.0       0.0
 PP0247         427489.914    6655227.820       1  0.0     1.0             36.098   1.0       0.0
 PP0248         426987.868    6654711.630       1  0.0     1.0             46.627   1.0       0.0
 PP0249         427023.223    6654746.980       1  0.0     1.0             37.218   1.0       0.0
 PP0250         427058.579    6654782.340       1  0.0     1.0             37.218   1.0       0.0
 PP0251         427093.934    6654817.700       1  0.0     1.0             37.217   1.0       0.0
 PP0252         427129.289    6654853.050       1  0.0     1.0             37.218   1.0       0.0
 PP0253         427164.645    6654888.410       1  0.0     1.0             37.217   1.0       0.0
 PP0254         427200.000    6654923.760       1  0.0     1.0             24.926   1.0       0.0
 PP0255         427214.142    6654937.900       1  0.0     1.0             25.826   1.0       0.0
 PP0256         427249.497    6654973.260       1  0.0     1.0             35.341   1.0       0.0
 PP0257         427284.853    6655008.610       1  0.0     1.0             31.649   1.0       0.0
 PP0258         427320.208    6655043.970       1  0.0     1.0             36.428   1.0       0.0
 PP0259         427355.564    6655079.330       1  0.0     1.0             36.828   1.0       0.0
 PP0260         427390.919    6655114.680       1  0.0     1.0             36.827   1.0       0.0
 PP0261         427426.274    6655150.040       1  0.0     1.0             36.828   1.0       0.0
 PP0262         427461.630    6655185.390       1  0.0     1.0             36.828   1.0       0.0
 PP0263         427496.985    6655220.750       1  0.0     1.0             36.828   1.0       0.0
 PP0264         427002.010    6654711.630       1  0.0     1.0             41.423   1.0       0.0
 PP0265         427037.365    6654746.980       1  0.0     1.0             37.130   1.0       0.0
 PP0266         427072.721    6654782.340       1  0.0     1.0             37.128   1.0       0.0
 PP0267         427108.076    6654817.700       1  0.0     1.0             37.128   1.0       0.0
 PP0268         427143.431    6654853.050       1  0.0     1.0             37.129   1.0       0.0
 PP0269         427178.787    6654888.410       1  0.0     1.0             37.127   1.0       0.0
 PP0270         427210.607    6654923.760       1  0.0     1.0             23.584   1.0       0.0
 PP0271         427228.284    6654937.900       1  0.0     1.0             29.364   1.0       0.0
 PP0272         427263.640    6654973.260       1  0.0     1.0             32.842   1.0       0.0
 PP0273         427298.995    6655008.610       1  0.0     1.0             27.152   1.0       0.0
 PP0274         427334.350    6655043.970       1  0.0     1.0             36.739   1.0       0.0
 PP0275         427369.706    6655079.330       1  0.0     1.0             36.740   1.0       0.0
 PP0276         427405.061    6655114.680       1  0.0     1.0             36.739   1.0       0.0
 PP0277         427440.416    6655150.040       1  0.0     1.0             36.740   1.0       0.0
 PP0278         427475.772    6655185.390       1  0.0     1.0             36.739   1.0       0.0
 PP0279         427511.127    6655220.750       1  0.0     1.0             40.404   1.0       0.0
 PP0280         427023.223    6654718.700       1  0.0     1.0             37.641   1.0       0.0
 PP0281         427058.579    6654754.060       1  0.0     1.0             35.440   1.0       0.0
 PP0282         427093.934    6654789.410       1  0.0     1.0             35.438   1.0       0.0
 PP0283         427129.289    6654824.770       1  0.0     1.0             35.439   1.0       0.0
 PP0284         427164.645    6654860.120       1  0.0     1.0             35.440   1.0       0.0
 PP0285         427200.000    6654895.480       1  0.0     1.0             30.668   1.0       0.0
 PP0286         427217.678    6654909.620       1  0.0     1.0             25.750   1.0       0.0
 PP0287         427228.284    6654923.760       1  0.0     1.0             23.236   1.0       0.0
 PP0288         427263.640    6654959.120       1  0.0     1.0             28.626   1.0       0.0
 PP0289         427295.459    6654994.470       1  0.0     1.0             24.116   1.0       0.0
